"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","用户注册功能测试","0","注册模块","1","0","异常注册","0"
"0","用户登录功能测试","0","登录模块","1","0","正常登录","0"
"0","用户注册功能测试","0","注册模块","1","0","正常注册","0"
"0","用户登录功能测试","0","登录模块","1","0","异常登录","0"
